,ts,contract_address,evt_tx_hash,evt_tx_from,evt_tx_to,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender,to
0,2024-03-16 01:00:51,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xd310d31650f1c0d586d9542d960deb83de0725beee4d1a1b5c712902af7669bd,0x287be715f45cb1d883ed7bc54daa5f18686607bc,0x23cf10b1ee3adfca73b0ef17c07f7577e7acd2d7,6,2024-03-16 01:00:51.000 UTC,11880752.0,247919026936646198,928556601,0x23cf10b1ee3adfca73b0ef17c07f7577e7acd2d7,0x23cf10b1ee3adfca73b0ef17c07f7577e7acd2d7
1,2024-03-17 08:41:19,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xe561de2105b193e793034ed75162f4597425e448e1125077c5b07d7554b4bf90,0x3e686d12e0b381ae1e9e0c915cdcb3244218299f,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,81,2024-03-17 08:41:19.000 UTC,11937766.0,302281712901374,1067075,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
2,2024-03-17 14:31:27,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x2a0bfb9017903b051ba431cbfc1716add3ff0c814a6194e25f31b08be6527238,0x155bad1166b84e4343b2b492da8e31570ada729b,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,149,2024-03-17 14:31:27.000 UTC,11948270.0,814855233408868,2909999,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
3,2024-03-17 23:59:55,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xb30ceb23a09ff27ae4db88762281dd151eb17ee1f0960865ff78a81180c42dd3,0x1c4a476281fbda7da3fa9c00bd891e7b3a37d338,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,58,2024-03-17 23:59:55.000 UTC,11965324.0,274367626131259,999645,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x1c4a476281fbda7da3fa9c00bd891e7b3a37d338
4,2024-03-18 00:48:05,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xd8256baba7ea2c852f74791bffa531fc52658e0c6e6d84316e67e0652a44f341,0xd7068b4e66d552c728157d704a8fd83cfaf17848,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,92,2024-03-18 00:48:05.000 UTC,11966769.0,998404506724703,3597947,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
5,2024-03-20 15:31:43,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x40529166d90d24f741b87c17e5f019b70fe9d7acf0e1dd676011e00b0335985f,0xfb4d92d05b2632e236d8fa837fe82ce8fba58510,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,88,2024-03-20 15:31:43.000 UTC,12079678.0,2911327835992,10222,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
6,2024-03-21 10:39:57,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xe6660aa2850700e09b1a3adaba92cc2b8e1f91e560fb7ec28d8cf7da6982623c,0xdb42052274cc1a6c9af4dcbead886f7dca1c900d,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,77,2024-03-21 10:39:57.000 UTC,12114125.0,355450492816788824,1249999999,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
7,2024-03-21 15:20:55,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x7400d055671ebc4db4918de001c7f6c3a61a7fe375afa9c0725ef7d09995548b,0x5012c645ad7de348147fb9d99b6b8d8949748e17,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,52,2024-03-21 15:20:55.000 UTC,12122554.0,154342024345530920,542252200,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
8,2024-03-21 18:03:35,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x91c96a22dae262673dbaca3bb9f34c5d0cc81d7db125ebbbaa8b17b58c4fed0b,0x5012c645ad7de348147fb9d99b6b8d8949748e17,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,80,2024-03-21 18:03:35.000 UTC,12127434.0,490322573335105736,1713430114,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
9,2024-03-21 22:22:25,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x2a183f43505eda9aad89ff8ef2dc2149bc67cf9b42b859b9f15ae7339ba015eb,0x5012c645ad7de348147fb9d99b6b8d8949748e17,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,60,2024-03-21 22:22:25.000 UTC,12135199.0,485543567445801914,1685300484,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
10,2024-03-26 19:03:31,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x065e905666643a5643243f5c1eb66700c236ec46279cd92406ecadc02c2b0bce,0x090c16fc0a5441888fae894cf75118f652b93d7f,0x00fa2a1f0cb44efe7bc46d2595954393c6c4ac6a,132,2024-03-26 19:03:31.000 UTC,12345232.0,996686920249760,3546121,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
11,2024-03-26 19:09:05,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x2a2a413e9099d59c489190739d3a11b4eaafabf7278a737c7932165fd1941aa7,0x090c16fc0a5441888fae894cf75118f652b93d7f,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,120,2024-03-26 19:09:05.000 UTC,12345399.0,997392554293480,3575784,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
12,2024-03-28 07:46:59,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x7d3405e20d0e11b5d40a8ca73d1dd619376491e932c148498b85764ee54f1791,0x5a898f0e315f63f21d6b7cc854b936ab226d67ee,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,96,2024-03-28 07:46:59.000 UTC,12411336.0,90915067305524,325012,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
13,2024-03-28 07:54:27,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x792445c033a0fe1bbe30123649d0710b26a32231d7e2e5f0b8243e5e83da662a,0x91f1ab3012a6eb505e718e50669ee8476c0226f8,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,150,2024-03-28 07:54:27.000 UTC,12411560.0,286436069461040,1019999,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
14,2024-03-28 08:00:43,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x74b5b69af7b6c2d4332feb6eaff8612716ac67de56fcb975e35813e7954f24ca,0x1b2fefc7052752fcac860b86e7049f658f299f8e,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,153,2024-03-28 08:00:43.000 UTC,12411748.0,318919880619523,1139600,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
15,2024-03-28 08:06:45,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x050735a75de548b5a70b0f93ac86e896706480a678e9704893af76cf60acbb8f,0xa2d7c3b58435e6b9705784837aac2f5fe036152a,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,73,2024-03-28 08:06:45.000 UTC,12411929.0,338262742611385,1207938,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
16,2024-03-28 08:11:43,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x676d301a763212fbe7ffa3ebcd643e521a130956eff6fa8eaa8110d7b2ac3bfb,0x2a972efc9264c3501dfd51d3e1b7783a72b040cc,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,108,2024-03-28 08:11:43.000 UTC,12412078.0,369130849260740,1316862,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
17,2024-03-28 08:18:53,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x1036b8d5120bc22cee032f8c527ab3a380b9b60e34b45724ffd7ed3c47dc658a,0x632c050b6f0ec89b4d3740826bff12b4786664a6,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,106,2024-03-28 08:18:53.000 UTC,12412293.0,405100244259689,1449733,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
18,2024-03-28 08:46:31,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xe0abf7280eb3fa8fb751de27fb29d48f6afc0af0ac19c167766232ade9e75da2,0xe99edc54073205e02fff9cb97c86bf67f49fab95,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,83,2024-03-28 08:46:31.000 UTC,12413122.0,386361483128704,1379999,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
19,2024-03-28 19:43:51,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x4a95ea30946a539e5c3c24741ec15b90b4450324e9a180ac4e6c95ffd932cdcc,0x740d618e92484b6f142e49b3644b26cc370232be,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,131,2024-03-28 19:43:51.000 UTC,12432842.0,1000187915537,3561,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
20,2024-03-29 10:27:03,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x0ee94d41674cdca489c0c92510d7d1bf38728ab16d56b885bd83a2f88a8157b6,0x78372769ed07f1f55ed0c25c0e1d0e848f8638f3,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,146,2024-03-29 10:27:03.000 UTC,12459338.0,1996974640601896,7080987,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
21,2024-03-29 16:48:23,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xb54f9b08ae6c100946c4fbd489dd3aae75e76e5eebd0f6d2341a0a41c2d3766c,0xd9c13d1badc0fe49b9eecb41299832ac42d08972,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,159,2024-03-29 16:48:23.000 UTC,12470778.0,570272602823188,2001994,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
