,ts,contract_address,evt_tx_hash,evt_tx_from,evt_tx_to,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender
0,2024-03-03 05:38:47,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xd184acf2e850c0600180c16ddcc6a3925df560c6e1febbda55e128c990d320e3,0x386e96e10447095a99b919defc955c6d4835c279,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,10,2024-03-03 05:38:47.000 UTC,11327490.0,6906683087080517,23744579,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
1,2024-03-11 12:40:51,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x062c721c1c9358e6536357be7f2b2f022331315cc3621b1016b967e14b2b7472,0x2825633c60c1b7ea3ee7d251971a4e493b0534fc,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,24,2024-03-11 12:40:51.000 UTC,11685752.0,245967254176563,1000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
2,2024-03-12 15:49:25,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x9be2efbd4c2e83243645cee670848dcdbc2f5a50627a96c8d79588f04ecf1c2c,0x287be715f45cb1d883ed7bc54daa5f18686607bc,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,5,2024-03-12 15:49:25.000 UTC,11734609.0,180640952170818736,750000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
3,2024-03-13 01:26:35,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xbe08190981e63b9b4ffbd4f86fbf87f8260383efba539af4ff4f5a44cb0bb4e0,0x30a2311227f13fff419877a551960535d113f94d,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,25,2024-03-13 01:26:35.000 UTC,11751924.0,12652582654321451,50500000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
4,2024-03-13 14:25:17,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xc2b186371b6667f9bf062276dfd72f0a4432f7bd8d197424a305294c06e693b0,0xd0eb827716ea70c76c58e2009f806078926343e8,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,23,2024-03-13 14:25:17.000 UTC,11775285.0,499011053072888,2000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
5,2024-03-14 05:55:53,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x3a7aefa03558e885822961d93117cb0b1b82b5a821698fd07efd29d749cac9cd,0xf7bea237046e378945411730a36c7427af05bec3,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,22,2024-03-14 05:55:53.000 UTC,11803203.0,12946668777994,51887,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
6,2024-03-17 08:39:05,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xd7a59158031eaa0651beab5776154f89c5e468afdc5e3295af068b83c293b8be,0x3e686d12e0b381ae1e9e0c915cdcb3244218299f,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,59,2024-03-17 08:39:05.000 UTC,11937699.0,328528675587321,1160000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
7,2024-03-17 14:30:17,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x485ebf36d90d4b6379c56bdddce70fde37a44349a3e8119c49ed3ce1e39fb37e,0x155bad1166b84e4343b2b492da8e31570ada729b,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,128,2024-03-17 14:30:17.000 UTC,11948235.0,840056941709077,3000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
8,2024-03-17 22:38:31,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xf89711601fea9c07b7ad5440488c71c486b6f96b8599c1312beb0ab11fd96dab,0x1c4a476281fbda7da3fa9c00bd891e7b3a37d338,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,80,2024-03-17 22:38:31.000 UTC,11962882.0,271904028706801,1000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
9,2024-03-18 00:45:23,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xc3f2c4382037dbe3dfbd2b15c5e0df0c3e95fc395348ebe2586b3215b07ecbed,0xd7068b4e66d552c728157d704a8fd83cfaf17848,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,68,2024-03-18 00:45:23.000 UTC,11966688.0,1994491399352755,7200144,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
