,ts,contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender
0,2024-03-01 04:00:06,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xab675da4e2bdbe54aaee3113766cc3ef746c71975aa62d131b2393def8fddc62,63,2024-03-01 04:00:06.000 UTC,185892873.0,788032529311025,2651255,0xc873fecbd354f5a56e00e710b90ef4201db2448d
1,2024-03-01 06:50:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xa9c641c35f0a5f47f58679b273fbfbadc7ee5d920503ce02125fd4b4f0d88b43,201,2024-03-01 06:50:02.000 UTC,185932077.0,380861276741029,1295964,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
2,2024-03-01 14:33:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x1531925143436c0d319e37c61d3b2f3b19001ae841ca33c1d0e95d570d96125a,45,2024-03-01 14:33:02.000 UTC,186041898.0,191037315386926,658806,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
3,2024-03-01 16:03:32,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xfdc615655f7cf48e03fd319f575a4893b5274ae208030785e939b1158a3cd253,60,2024-03-01 16:03:32.000 UTC,186063400.0,2966561811778,10077,0x317346ba5489998bf63b56cf47149497805a6ea9
4,2024-03-02 07:48:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x161076b1796b85ece6b128037fe00c95bd63208c158d269411717eb4bd2d9e1d,47,2024-03-02 07:48:02.000 UTC,186279937.0,453592142897392,1565286,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
5,2024-03-02 16:03:27,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x70efdeaad4e436d67bd903d52f0a170ea99100891a9090d2b833367f3eaaddf8,54,2024-03-02 16:03:27.000 UTC,186396239.0,3048799416669,10456,0x317346ba5489998bf63b56cf47149497805a6ea9
6,2024-03-02 20:14:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x95a81149f7631530d97b92fce24e06b6f10c95be7f44b32b972060f9096bf7f8,40,2024-03-02 20:14:02.000 UTC,186453508.0,354783513801783,1219327,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
7,2024-03-03 05:46:29,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xb16b293608ae5eefd6f5402d97982c22376cf035605e87ae4dfca9d67625f408,101,2024-03-03 05:46:29.000 UTC,186583714.0,188111405622312,645253,0xc873fecbd354f5a56e00e710b90ef4201db2448d
8,2024-03-03 16:03:49,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x7e0d91446c5e4c5ea4d7dba8b6c1dcf11e47aadfeeaacbcb356e7723e3bb82bd,57,2024-03-03 16:03:49.000 UTC,186730515.0,2954119978815,10102,0x317346ba5489998bf63b56cf47149497805a6ea9
9,2024-03-03 17:49:01,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x4d4871379fb020e0e745dbf49b88811e8e5ae4a749088225fafb9d7db374a5e6,40,2024-03-03 17:49:01.000 UTC,186755009.0,554033202439795,1927471,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
