,ts,contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender,to
0,2024-03-02 12:52:34,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x72e11ab9b87e7ad9020f207e47a7d80a51b2610ea7cce7c7925d5dafa13b18af,6,2024-03-02 12:52:34.000 UTC,186351375.0,17896133780580322,61604381,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
1,2024-03-04 18:40:42,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xdfc3cf452bd09a86ce4e4084ae9aa834809ed98345d0a738195b841e4878433e,7,2024-03-04 18:40:42.000 UTC,187092269.0,4911910717104659,17334369,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
2,2024-03-05 12:04:37,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xfc5005bb9e07c617d90811cb06170781b5a8f8a2ce845c7648f5d148a9e05ecd,23,2024-03-05 12:04:37.000 UTC,187329957.0,2686740801714997,10063970,0xa5644e29708357803b5a882d272c41cc0df92b34,0xa5644e29708357803b5a882d272c41cc0df92b34
3,2024-03-07 01:20:08,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xbe7ae4a75a127f07df3635244ca80540b471df203665117d84b6ff44a3decc46,26,2024-03-07 01:20:08.000 UTC,187843656.0,997551653544881,3817831,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
4,2024-03-12 19:06:30,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x271bfc3faa0b7e95d23644bdbc456c07104e684d99b0c4aaffbcb39d7f427fd4,6,2024-03-12 19:06:30.000 UTC,189712701.0,2784848599015420,11126146,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
5,2024-03-13 16:24:22,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x02c0fd909a60f5023aca692648fb9c3ec782fba972f64824047e79b283e3ed3e,6,2024-03-13 16:24:22.000 UTC,190007124.0,1256874609685590,4999999,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
6,2024-03-17 10:38:35,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xb79ba676d8e1c3aa12cdbd201e83ad72e11bcee48cc9cc3f74a1acd7d3c85b23,8,2024-03-17 10:38:35.000 UTC,191280799.0,2764256222898652,9962609,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
7,2024-03-17 13:36:58,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x1c9c4a6dbcac4d0aa92fa3ddd889d4c5f100ea61bde008c898ccc9c2a420491c,7,2024-03-17 13:36:58.000 UTC,191323210.0,292558036842792,1025699,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
8,2024-03-18 04:56:17,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x20e394c7cde67c1c73bebb12d0894f6d4244e6cd4b5b2659c11a2a2e1d445103,16,2024-03-18 04:56:17.000 UTC,191539149.0,560483813660421,1995141,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
9,2024-03-20 18:18:36,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xe3d89bf39c3ca62c8fde7b465541cbdb281165c066e948d4ed49cae348c09979,10,2024-03-20 18:18:36.000 UTC,192418860.0,300267311062596,1000984,0xa5644e29708357803b5a882d272c41cc0df92b34,0xa5644e29708357803b5a882d272c41cc0df92b34
