,ts,contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender
0,2024-03-01 08:13:39,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xb6cfcf1c94ffb57d3808613a47789f10863fdbe0dcb552f9d790b010f94b7904,24,2024-03-01 08:13:39.000 UTC,185951890.0,589574117906109,2000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
1,2024-03-03 07:08:18,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xbdc82bdd83502d5c1b7efe28e24f1fdceeea43d5b907400e15d3733031b0c57f,5,2024-03-03 07:08:18.000 UTC,186603059.0,31729143632471634,107625834,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
2,2024-03-05 12:02:32,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xa66e220e4562b61a46717afa16dd748299dc6ff92808435bef577e59bb3f07d9,8,2024-03-05 12:02:32.000 UTC,187329467.0,2686740801719649,10063971,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
3,2024-03-06 20:16:48,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xc2b7440b3ceb78cbe4d43373d0ba066a2597e5374edbca2143b0439154d24b25,61,2024-03-06 20:16:48.000 UTC,187777726.0,989063436219130,3840000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
4,2024-03-09 14:04:51,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x5f7bb55b182cc7774120cec1e269c8680ab0e5b1f959c82128cf3a0f1584caff,10,2024-03-09 14:04:51.000 UTC,188676014.0,1277666111924733,5000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
5,2024-03-10 14:18:30,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x782cedba18a2222278aaf5dd50a587c3fb9fe0360275d873b80ba55960fb497c,21,2024-03-10 14:18:30.000 UTC,188993947.0,999999757863249,3918415,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
6,2024-03-12 18:20:35,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x9b094d6c488bc90fa08e3e00e327d0851c481cf01b06f31cdf35205c426cfa23,5,2024-03-12 18:20:35.000 UTC,189701955.0,2816689019981389,11000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
7,2024-03-13 15:48:42,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x8f0e2f0de9edee86762fd374ea377de072292a69c20e911bef6ead5ce3780a79,5,2024-03-13 15:48:42.000 UTC,189998741.0,1256874609686551,5000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
8,2024-03-14 15:14:24,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x5ea138583bd4f49bc8c57d01525a22830ff381b932baf17c1feedeec574eaee8,5,2024-03-14 15:14:24.000 UTC,190322357.0,516736152090140,2000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
9,2024-03-17 08:49:16,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x0439e42ad86e53d3a5d3f7c2bc18b7a2f43a72215e261e8c901477769bf01c9a,6,2024-03-17 08:49:16.000 UTC,191254867.0,2797813843912547,9840900,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
10,2024-03-17 13:27:54,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x3e91858817a8ff086f6a0b21abbf785f05cde1dc6d79af39bb818543d358b32c,12,2024-03-17 13:27:54.000 UTC,191321040.0,292255836155762,1026714,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
