,ts,contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender,to
0,2024-03-05 14:09:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xc7f70f3aa8955acf786758125f26bf3861ba9f18330708fcf10f784b9a5de012,118,2024-03-05 14:09:11.000 UTC,19369468.0,242556009,64046431448668160,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
1,2024-03-05 17:52:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xc887c8b26587e68c0a353ac4c50135a7d08582f5eec73922592f8320b67784ce,201,2024-03-05 17:52:59.000 UTC,19370581.0,212668313,57924746363672391,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
2,2024-03-06 17:15:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x2d1bb62437b515b45cf9dbc87f4ad6a70f746f0478aaa20a60a85b316c962e1c,235,2024-03-06 17:15:11.000 UTC,19377556.0,6711226879,1755808569778271652,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
3,2024-03-07 00:25:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x8f0bc408d1f26d4a4882407db92b36ab87266d59b9f48fea299e55b399b139f1,265,2024-03-07 00:25:35.000 UTC,19379701.0,3377798585,885638984186464350,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
4,2024-03-08 08:54:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x1d7c30fecc34f3f119fb9a86101f2619caa825062e1a38ed8b6b70b1a7ee446d,371,2024-03-08 08:54:47.000 UTC,19389385.0,16865897893,4272566500229402508,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
5,2024-03-10 22:59:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa2a6b66f84fb44193bc83fd0d6b26c97e661246bf2ae0faba817f24cbe69677a,163,2024-03-10 22:59:59.000 UTC,19407833.0,1777945517,465639768786014846,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
6,2024-03-11 22:45:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x69f3c34495a630a700ab464509a2ba8e2ef286a7365b58d00a96be199f14fc11,279,2024-03-11 22:45:23.000 UTC,19414915.0,12404180072,3051845239788131599,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
7,2024-03-15 16:01:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x0f9f1012e7b58beb6afe2c97b22e61c78da71214847d5984a617b779df74d6e2,471,2024-03-15 16:01:23.000 UTC,19441403.0,4811672616,1303256411724924546,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
8,2024-03-16 18:26:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x9bc39baa099bb2a616dd46c5525ffeda12930b7d100654a14b5d68bc092f5d53,486,2024-03-16 18:26:35.000 UTC,19449223.0,232390074,64657970299292940,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
9,2024-03-16 22:05:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xe8b032df2ced372136636d99e080081eba209a96b09649f2154bf52b8e3bf520,618,2024-03-16 22:05:47.000 UTC,19450307.0,248265430,70190265178565770,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
10,2024-03-19 02:31:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x192aa02601c1d7a2baa174324380bd90b0f51a893c4bd7b17b97eedbb17846ae,737,2024-03-19 02:31:11.000 UTC,19465838.0,55976837056,16317265715200295745,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
11,2024-03-20 09:07:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x1be825073b4fc89893f61d9ce4e64ffca36d5fc2cbbefd5793bd4bcf9e0785a9,191,2024-03-20 09:07:59.000 UTC,19474925.0,1497554435244,465261515285506763361,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
12,2024-03-23 01:26:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa902f39d9ac8368f22a8bcec8d5afbafa4b641ad8b05ce956db1ab12924da355,436,2024-03-23 01:26:59.000 UTC,19494022.0,9999999999,3003540874116532335,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x6a753f581ba0012612f87b73c53683c60d305c87
13,2024-03-23 11:03:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xb0d279c2b789845dc0d25b3dda186f769bb03072b6ce0c51192083effc74817e,225,2024-03-23 11:03:35.000 UTC,19496877.0,46298202039,13826702608530750954,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
14,2024-03-23 16:02:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x97de5e4b0546b5f9f29f055ecfa402331e94e212bab3be22053b44546273565f,195,2024-03-23 16:02:35.000 UTC,19498362.0,1604778147,471836815169017286,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
15,2024-03-23 22:02:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x3db0e44560b0c4ed092ba4d6f891f2570fd1a025c083fa8e8505aca847f544be,196,2024-03-23 22:02:47.000 UTC,19500136.0,741355836,218585739420128952,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
16,2024-03-24 03:03:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x0b41cbac2400534aae37446b22193e19d04e0ca9d034896c68188ddde3ed78c9,192,2024-03-24 03:03:23.000 UTC,19501619.0,47772789240,14274457478173039590,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
17,2024-03-24 08:52:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x40d5c6ae1fdc7f11da5f5dfec0dfc280a97dae1cf6009cf094216121fcfc4a10,582,2024-03-24 08:52:59.000 UTC,19503342.0,113169955,33731926747726928,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
18,2024-03-24 11:46:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x627a92a64d83347183b32bc14919aa69c078febdef5549854bc4e149147afd79,153,2024-03-24 11:46:11.000 UTC,19504195.0,11458063,3391115794000215,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
19,2024-03-25 11:37:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x6be96fd540aecda3d824754b6ea40ed55c87938516fbff760487c79248827d8b,287,2024-03-25 11:37:59.000 UTC,19511246.0,566666039,164832085141678966,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
20,2024-03-28 02:50:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xc6695fdf62f4334cd8104fab84150be75b9657ef0dfe359549318d45c14448d8,392,2024-03-28 02:50:35.000 UTC,19529750.0,353410278,101745376610449652,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
21,2024-03-28 03:24:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xfbaee32e06bc1744b9d8b0d3dc8fb7862fb906823a4f0c91aaf851db43459487,19,2024-03-28 03:24:11.000 UTC,19529916.0,3468936,996999799491316,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
22,2024-03-28 20:55:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xe2ff32377f237efce6ed5811b56602f7eb51d46522f519fcc4c5867b009df44e,299,2024-03-28 20:55:11.000 UTC,19535032.0,210566262,59046785032597595,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
23,2024-03-29 13:20:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x3def4c1dadd321dd027b20fb57ed951e17d949d2a1f374b83a87cfe8bf020b32,149,2024-03-29 13:20:11.000 UTC,19539917.0,7924715265,2239224678780345739,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
24,2024-03-29 17:20:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x94ad86710cd3e96507b41a2ced05cbd6b9f8cf7124c444f0efa2b8bf30558ccc,240,2024-03-29 17:20:47.000 UTC,19541101.0,2267278898,649522712560537182,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
25,2024-03-30 19:23:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x86998fb0d272c4afb633819bd377aac937167aba7926bb3d373cf59455c26e93,405,2024-03-30 19:23:11.000 UTC,19548814.0,11092661090924,3171067802634722542435,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
26,2024-03-31 05:05:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x632cf4717bd2290f55c61f4223f228012ecb025ebc6549719af06847f4ec9efc,213,2024-03-31 05:05:47.000 UTC,19551691.0,9999999999,2828713729373173924,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x6a753f581ba0012612f87b73c53683c60d305c87
27,2024-03-31 19:11:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x2e231cf422cfaf454cb5c81e5b8a94e6c8dcb4ab9b2abe1c825556479e5e4149,270,2024-03-31 19:11:11.000 UTC,19555857.0,7471296472,2058900392802799251,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
28,2024-03-31 21:36:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x630218fbc0da78cf2ce7b76f2ca89436052fabb104a5753cf53c0cec15e2478a,568,2024-03-31 21:36:23.000 UTC,19556576.0,29996644137,8252913583630769939,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
29,2024-04-01 03:21:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xdb80d6622eac66936388dadcfb0fbff96ed146bccd0833da66bd8e6ae881ce01,300,2024-04-01 03:21:23.000 UTC,19558285.0,1980801946,548899591482834083,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
30,2024-04-01 20:10:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xda1c8271fc3a6b6a09bf530c87afc29a1b9ef4c6c3be1a1802980d3c688fabe2,204,2024-04-01 20:10:59.000 UTC,19563271.0,121210084,34787175666938595,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
31,2024-04-02 02:58:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xcbbcedc9d3d3fd5ee2cd91c1f79b6184bf3c72c7a6e9b428ccd2ccc2737cea60,238,2024-04-02 02:58:47.000 UTC,19565292.0,1963099301,581730589887385625,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
32,2024-04-03 21:39:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xc439262b3deb0603b7b0ae35cb00ec217663ab61139ba25c983d5b45562589c3,177,2024-04-03 21:39:47.000 UTC,19577985.0,274870490,83239250433691960,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
33,2024-04-05 00:50:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x422536e6a49c4525372a02921e340c6481de8fd393442f6e3000788a0e819d71,135,2024-04-05 00:50:11.000 UTC,19586079.0,9999999999,3013400169028908290,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x6a753f581ba0012612f87b73c53683c60d305c87
34,2024-04-06 19:19:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xd4b46d456690877886baba4545e5a67298ddcb6d9e8d1f205f9af98ecc646e1b,82,2024-04-06 19:19:47.000 UTC,19598727.0,261886690,77981973944127088,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
35,2024-04-06 19:34:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x6c77828f1b9dc78fa330ebac74b5bd665d0c5ca5cd6dd71d665bb42230141bea,515,2024-04-06 19:34:11.000 UTC,19598796.0,176051283,52383141248756098,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
