,ts,contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender
0,2024-03-04 02:33:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x138483cb996cf225b8dfd1aba389104aa9d25d3b9d536b582e4e7a1e12539312,244,2024-03-04 02:33:59.000 UTC,19358842.0,519402962,149000000000000000,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
1,2024-03-13 16:20:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xbb88386e6362dd459ef391d1522c30465fcd7ec9a95775b0318270bb1c9d362f,351,2024-03-13 16:20:35.000 UTC,19427297.0,397377513,99918257946846350,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
2,2024-03-17 01:48:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x1becd76c661d2939438957d6de0b197df60cc3caca412fc4d4f8b061777b12f5,889,2024-03-17 01:48:47.000 UTC,19451407.0,500000000,141229558033551590,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
3,2024-03-17 09:38:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa12e94ee8e324ee2550c2dfb115282a5ef956d5c5d03a02bfff9501b797da221,212,2024-03-17 09:38:35.000 UTC,19453727.0,99985763,28088425836812669,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
4,2024-03-17 09:38:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x79560dd5f6f1315cf9a4f367d76d520738546451d10b006081aed1d7b1d8262a,102,2024-03-17 09:38:59.000 UTC,19453729.0,99985763,28088425836812669,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
5,2024-03-17 09:39:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xd14e21d89f255c30a81d029da4ad2af0fe2b537a06800a2fd5e8d370cedee9fc,71,2024-03-17 09:39:11.000 UTC,19453730.0,3559678410,999999999910736129,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
6,2024-03-20 04:35:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xec23bd90573f78dfb0a496dd3e9523d78efff22a5021df06bf64afe7b843092b,161,2024-03-20 04:35:23.000 UTC,19473570.0,4078615231,1304621229386308607,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
7,2024-03-20 09:18:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x4515b17c513ca596eeba5b1fa2fa677ec8ec72e9caa2c471a19223475d9feedf,153,2024-03-20 09:18:11.000 UTC,19474975.0,1497554435244,464960328215756587698,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
8,2024-03-20 23:32:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x63de5bdf7dd5c7980737a4a9d8534457e14f66ecd9090f50d231870e56b19b35,201,2024-03-20 23:32:23.000 UTC,19479203.0,371306516,105311195198509999,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
9,2024-03-22 17:12:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xd5f10d440a1e50d885961796f42bf0263608201770646ea87af72eab0160e709,276,2024-03-22 17:12:35.000 UTC,19491575.0,5000000,1504695310216803,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
10,2024-03-23 01:26:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa902f39d9ac8368f22a8bcec8d5afbafa4b641ad8b05ce956db1ab12924da355,406,2024-03-23 01:26:59.000 UTC,19494022.0,10000000000,3003540874116556024,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
